(Recognized )Private School List District Rohtak Year 2024,,
SR.NO ,Block Name ,SCHOOL NAME 
89,Rohtak,ST.PAUL BHARTI
90,Rohtak,SHIKSHA BHARTI RAM NAGAR
91,Rohtak,INTERNATIONAL BHARTI SCHOOL
92,Rohtak,VIDYA BHAVAN SR SEC SCHOOL
93,Rohtak,DAYANAND MEMORIAL HIGH SCHOOL
94,Rohtak,VIDYA BHARTI HIGH SCHOOL 
95,Rohtak,VIDYA SAGAR HIGH SCHOOL -SUNARIAN
96,Rohtak,HAPPY HIGH SCHOOL
97,Rohtak,MDN PUBLIC SCHOOL
98,Rohtak,S.R.S SR.SEC.SCHOOL
99,Rohtak,SHRI BABA MASTNATH Rohtak
100,Rohtak,SARASWATI HIGH SCHOOL
101,Rohtak,NEW HARYANA SR.SEC.SCHOOL
102,Rohtak,M. S SARASWATI INDIRA COLONY
103,Rohtak,"MAA SARASWATI SR. SEC. SCHOOL , DHAMAR"
104,Rohtak,SILVER OAK SCHOOL BHALOUT
105,Rohtak,UPKAR HIGH SCHOOL -ROHTAK
106,Rohtak,"THE AARYAN  GLOBAL SCHOOL , ROHTAK"
107,Rohtak,SAINIK SCHOOL -SINGHPURA
108,Rohtak,B.S. SCHOOL SUNARIAN KHURD 
109,Rohtak,JP Internatioal School Sect.36
109,Meham,SARASWATI SR. SEC. SCHOOL BEHLBA
110,Meham,S.C.R. HIGH SCHOOL BHAINI C. PAL
111,Meham,VIKAS SR. SEC. SCHOOL BHAINI SURJAN
112,Meham,B.R.M. SR. SEC. SCHOOL BHARAN
113,Meham,ARYA SR. SEC SCHOOL FARMANA
114,Meham,RADHA KRISHAN MEMORIAL SR. SEC. SCHOOL FARMANA
115,Meham,MODERN SR.SEC.SCHOOL KHARKARA
116,Meham,"H.D. SR. SEC. SCHOOL,KHERI MEHAM"
117,Meham,R.K.P. SR. SEC.SCHOOL MADINA
118,Meham,ARYA SR. SEC. SCHOOL MADINA
119,Meham,M.D.S Public School Madina
120,Meham,ADARSH SR. SEC. SCHOOL MADINA
121,Meham,SAHI RAM SR. SEC. SCHOOL MEHAM
122,Meham,SHREE KRISHAN GOVIND HIGH SCHOOL  MEHAM
123,Meham,SARASWATI VIDYA MANDIR SR.SEC. SCHOOL MEHAM
124,Meham,B.K.N. PUBLIC SCHOOL KHARKARA
125,Meham,MAHARAJA AGRASEN PUBLIC SCHOOL MEHAM
126,Meham,SD HIGH SCHOOL MEHAM
127,Meham,INDUS PUBLIC SCHOOL MEHAM
128,Meham,ST.VIVEKA NAND HIGH SCHOOL MOKHRA
129,Meham,SIR CHHOTU RAM HIGH SCHOOL  MOKHRA
130,Meham,MOTHER INDIA SR. SEC. SCHOOL MOKHRA
131,Meham,Fateh Singh.SR. SEC. SCHOOL NINDANA
132,Meham,K.C.M PUBLIC SCHOOL Nindana
133,Meham,GYAN DEEP SR. SEC.  SCHOOL SAIMAN
134,Meham,NEW ADARSH SR. SEC. SCHOOL BEHLBA
135,Meham,D.M. SR. SEC. SCHOOL KHARKARA
136,Meham,DADA UDAMI BHAGAT MEMORIAL SR. SEC. SCHOOL KHARKARA
137,L.Majra ,SD High School Lakhan Majra Rohtak
138,L.Majra ,DEEP SENIOR SECONDARY SCHOOL
139,L.Majra ,JANTA HIGH SCHOOLL.MAJRA
140,L.Majra ,JANTA HIGH SCHOOL CHANDI
141,L.Majra ,MODREN SCHOOL LAKHAN MAJRA [25199] [25199]
142,L.Majra ,NEKI RAM SPORTS SEN. SEC.SCHOOL
143,L.Majra ,RAMANUJ SR SEC SCHOOL GHARAWATHI
144,L.Majra ,Saraswati Niketan Public School Chandi Rohtak
145,L.Majra ,SARASWATI VIDYA MANDIR PUBLIC SCHOOL  KHARAKJATAN ROHTAK
146,L.Majra ,SD VIDYAPEETH TITOLI
147,L.Majra ,VIJAY HIGH SCHOOL TITOLI
148,L.M ,GMSSSS LAKHANMAJRA 
149,L.M ,GSSS SUNDERPUR 
150,L.M ,GGSSS Lakhan Majra 
151,L.M ,GGSSS BAINSI 
152,L.M ,GHS Chandi
153,L.M ,GGSSS Chandi 
154,L.M ,GSSS Chiri
155,L.M ,GGSSS Chiri
156,L.M ,GSSS Gharawathi
157,L.M ,GGSSS KHARAINTI
158,L.M ,GSSS KHARAK JATAN
159,L.M ,GHS BAINSI 
160,L.M ,GHS Gugaheri 
161,L.M ,PM SHRI GSSS TITOLI
162,L.M ,GSSS KHARANTI
163,L.M ,GHS NANDAL
164,L.M ,Gms sisroli
165,L.M ,Gms indergarh
166,Kalanaur ,G.S.S.S.Anwal
167,Kalanaur ,G.S.S.S.Baniyani
168,Kalanaur ,G.G.S.S.S.Baniyani
169,Kalanaur ,G.S.S.S.Bhali anandpur
170,Kalanaur ,G.S.S.S.Garnawthi
171,Kalanaur ,G.S.S.S Gudhan
172,Kalanaur ,G.S.S.S Kahanaur
173,Kalanaur ,G.G.S.S.S Kahanaur 
174,Kalanaur ,G.M.S.S.S.S.Kalanaur
175,Kalanaur ,G.G.S.S.S.Kalanaur
176,Kalanaur ,G.S.S.S.Katesra
177,Kalanaur ,G.S.S.S.Lahli
